Time,Position_x,Position_y,Position_z,Target_x,Target_y,Target_z
[8.974],0.29616273826918227,0.011803928504113862,0.0,0.19874344937009045,0.5661281138863166,0.0
[8.976],0.29616273826918227,0.011803928504113862,0.0,0.1977946140831143,0.566460316915238,0.0
[8.978],0.29568259158948235,0.01669041350145619,0.0,0.19684522351673972,0.5667909296898149,0.0
[8.98],0.29568259158948235,0.01669041350145619,0.0,0.1958952803362406,0.567119951281901,0.0
[8.982],0.29568259158948235,0.01669041350145619,0.0,0.1949447872084437,0.5674473807678159,0.0
[8.984],0.29568259158948235,0.01669041350145619,0.0,0.19399374680171977,0.5677732172283492,0.0
[8.986],0.29568259158948235,0.01669041350145619,0.0,0.19304216178597436,0.5680974597487632,0.0
[8.988],0.29568259158948235,0.01669041350145619,0.0,0.19209003483264403,0.5684201074187942,0.0
[8.99],0.29568259158948235,0.01669041350145619,0.0,0.19113736861468464,0.5687411593326565,0.0
[8.992],0.29568259158948235,0.01669041350145619,0.0,0.1901841658065681,0.5690606145890433,0.0
[8.994],0.29568259158948235,0.01669041350145619,0.0,0.18923042908427054,0.5693784722911316,0.0
[8.996],0.29568259158948235,0.01669041350145619,0.0,0.18827616112526915,0.5696947315465816,0.0
[8.998],0.2945526666959107,0.02165847934577794,0.0,0.18732136460853033,0.5700093914675424,0.0
[9.],0.2945526666959107,0.02165847934577794,0.0,0.18636604221450648,0.5703224511706521,0.0
[9.002],0.2945526666959107,0.02165847934577794,0.0,0.1854101966251242,0.5706339097770415,0.0
[9.004],0.2945526666959107,0.02165847934577794,0.0,0.1844538305237805,0.5709437664123364,0.0
[9.006],0.2945526666959107,0.02165847934577794,0.0,0.1834969465953335,0.5712520202066591,0.0
[9.008],0.2945526666959107,0.02165847934577794,0.0,0.1825395475260937,0.5715586702946329,0.0
[9.01],0.2945526666959107,0.02165847934577794,0.0,0.18158163600381966,0.5718637158153823,0.0
[9.012],0.2945526666959107,0.02165847934577794,0.0,0.18062321471770668,0.5721671559125368,0.0
[9.014],0.2945526666959107,0.02165847934577794,0.0,0.17966428635838308,0.5724689897342325,0.0
[9.016],0.2945526666959107,0.02165847934577794,0.0,0.17870485361789873,0.5727692164331157,0.0
[9.018],0.29362249602402885,0.026601173123960254,0.0,0.17774491918972143,0.5730678351663434,0.0
[9.02],0.29362249602402885,0.026601173123960254,0.0,0.17678448576872552,0.5733648450955876,0.0
[9.022],0.29362249602402885,0.026601173123960254,0.0,0.17582355605118807,0.5736602453870363,0.0
[9.024],0.29362249602402885,0.026601173123960254,0.0,0.17486213273477746,0.5739540352113965,0.0
[9.026],0.29362249602402885,0.026601173123960254,0.0,0.17390021851854928,0.5742462137438964,0.0
[9.028],0.29362249602402885,0.026601173123960254,0.0,0.17293781610293732,0.5745367801642873,0.0
[9.03],0.29362249602402885,0.026601173123960254,0.0,0.17197492818974427,0.5748257336568469,0.0
[9.032],0.29362249602402885,0.026601173123960254,0.0,0.17101155748213795,0.5751130734103802,0.0
[9.034],0.29362249602402885,0.026601173123960254,0.0,0.1700477066846394,0.5753987986182234,0.0
[9.036],0.29362249602402885,0.026601173123960254,0.0,0.16908337850311955,0.5756829084782444,0.0
[9.038],0.2927025944928788,0.0315415389412267,0.0,0.1681185756447875,0.5759654021928469,0.0
[9.04],0.2927025944928788,0.0315415389412267,0.0,0.16715330081818686,0.5762462789689706,0.0
[9.042],0.2927025944928788,0.0315415389412267,0.0,0.1661875567331843,0.5765255380180956,0.0
[9.044],0.2927025944928788,0.0315415389412267,0.0,0.16522134610096587,0.5768031785562427,0.0
[9.046],0.2927025944928788,0.0315415389412267,0.0,0.16425467163402532,0.577079199803977,0.0
[9.048],0.2927025944928788,0.0315415389412267,0.0,0.16328753604616011,0.5773536009864093,0.0
[9.05],0.2927025944928788,0.0315415389412267,0.0,0.1623199420524622,0.5776263813331982,0.0
[9.052],0.2927025944928788,0.0315415389412267,0.0,0.16135189236930894,0.5778975400785531,0.0
[9.054],0.2927025944928788,0.0315415389412267,0.0,0.16038338971435895,0.5781670764612353,0.0
[9.056],0.2927025944928788,0.0315415389412267,0.0,0.15941443680654063,0.5784349897245614,0.0
[9.058],0.291770313477069,0.036487403216929434,0.0,0.1584450363660482,0.5787012791164036,0.0
[9.06],0.291770313477069,0.036487403216929434,0.0,0.15747519111433042,0.5789659438891938,0.0
