Time,Velocity_x,Velocity_y,Velocity_z
[9.23],-0.17655983238452436,0.21607968241370648,0.0
[9.232],-0.17705459265784276,0.21599094636970637,0.0
[9.234],-0.17754920355807824,0.21590138147185625,0.0
[9.236],-0.17804366369668362,0.21581098797159642,0.0
[9.238],-0.17707451054134377,0.21369873649412574,0.0
[9.24],-0.17756866453416673,0.21360668409092093,0.0
[9.242],-0.17806266359814765,0.21351380385435334,0.0
[9.244],-0.17855650634645612,0.21342009604517076,0.0
[9.246],-0.1790501913927014,0.21332556092644406,0.0
[9.248],-0.17954371735093463,0.2132301987635668,0.0
[9.25],-0.18003708283565445,0.21313400982425412,0.0
[9.252],-0.18053028646180902,0.21303699437854257,0.0
[9.254],-0.18102332684480194,0.21293915269878866,0.0
[9.256],-0.1815162026004944,0.21284048505966863,0.0
[9.258],-0.180615994126478,0.21066029516654292,0.0
[9.26],-0.18110850171985135,0.21055980594309837,0.0
[9.262],-0.18160084025067186,0.21045849165670127,0.0
[9.264],-0.1820930083367717,0.21035635259177643,0.0
[9.266],-0.18258500459646057,0.21025338903506446,0.0
[9.268],-0.18307682764853161,0.21014960127562032,0.0
[9.27],-0.18356847611226312,0.2100449896048131,0.0
[9.272],-0.18405994860742458,0.20993955431632455,0.0
[9.274],-0.1845512437542785,0.20983329570614903,0.0
[9.276],-0.18504236017358622,0.2097262140725918,0.0
[9.278],-0.1842117325701314,0.20747306166661353,0.0
[9.28],-0.18470241249278554,0.2073639973412694,0.0
[9.282],-0.18519290898773838,0.20725411102729943,0.0
[9.284],-0.1856832206779923,0.20714340303319353,0.0
[9.286],-0.18617334618706965,0.20703187366974798,0.0
[9.288],-0.18666328413901437,0.20691952325006532,0.0
[9.29],-0.1871530331583979,0.20680635208955267,0.0
[9.292],-0.18764259187032112,0.2066923605059217,0.0
[9.294],-0.18813195890042023,0.206577548819187,0.0
[9.296],-0.18862113287486848,0.2064619173516655,0.0
[9.298],-0.18700082625566328,0.2048519986105569,0.0
[9.3],-0.18748962883989323,0.20473480711253336,0.0
[9.302],-0.1879782343818544,0.2046167967828013,0.0
[9.304],-0.1884666415098588,0.20449796795265734,0.0
[9.306],-0.18895484885277453,0.20437832095569614,0.0
[9.308],-0.18944285504003144,0.20425785612780892,0.0
[9.31],-0.18993065870162312,0.20413657380718314,0.0
[9.312],-0.19041825846811283,0.20401447433430117,0.0
[9.314],-0.19090565297063516,0.2038915580519394,0.0
[9.316],-0.19139284084090197,0.20376782530516716,0.0
[9.318],-0.19033606624908506,0.20168322055598803,0.0
[9.32],-0.1908227600240407,0.20155755837799352,0.0
[9.322],-0.191309242566934,0.20143108091352274,0.0
[9.324],-0.1917955125120363,0.20130378851764277,0.0
[9.326],-0.1922815684942164,0.20117568154770812,0.0
[9.328],-0.19276740914894286,0.20104676036336044,0.0
[9.33],-0.19325303311228975,0.2009170253265271,0.0
[9.332],-0.19373843902093843,0.20078647680142023,0.0
[9.334],-0.19422362551218342,0.2006551151545355,0.0
[9.336],-0.19470859122393425,0.2005229407546517,0.0
[9.338],-0.19373156878642217,0.19833400585676522,0.0
[9.34],-0.1942159719758189,0.1981997845333441,0.0
[9.342],-0.1947001495953897,0.19806475177337202,0.0
[9.344],-0.19518410028587657,0.19792890795593376,0.0
[9.346],-0.19566782268865857,0.19779225346239102,0.0
[9.348],-0.1961513154457565,0.19765478867638114,0.0
[9.35],-0.19663457719983474,0.19751651398381645,0.0
